doc_index	title	categories
3793	Zgodovina slovenskega slovstva 2 (Glaser)	literarna_zgodovina, slovenska_matica
3794	Zgodovina slovenskega slovstva 4 (Glaser)	literarna_zgodovina, slovenska_matica
3978	Mehanikom	manifesti, rokopisi
3982	Milena Batič	avtorice, slovenski_avtorji
3999	Barbara Gregorič Gorenc	avtorice, slovenski_avtorji
4028	Štiri pare kratkočasnih novih pesmi	dela_v_bohoricici, pesniske_zbirke
4049	Slovenske pesmi kranjskega naroda	dela_v_bohoricici, pesniske_zbirke
4071	Dvanajst večerov	literarna_zgodovina, literarne_kritike
4086	Babica v cirkusu	mladinska_knjizevnost, slovenske_kratke_pravljice
4094	Ptica, lisica in pes	slovenske_ljudske_pravljice, zbirka_slovenskih_mladinskih_leposlovnih_besedil
4097	Tatjana Pregl Kobe	avtorice, slovenski_avtorji
4099	Cvetka Bevc	avtorice, slovenski_avtorji
4100	Tanja Frumen	avtorice, slovenski_avtorji
4104	Mira Dobravec	avtorice, slovenski_avtorji
4130	Mi, kosovirji	slovenske_pravljice, zbirka_slovenskih_mladinskih_leposlovnih_besedil
4132	Kraljična Žužika	slovenska_knizevnost, zbirka_slovenskih_leposlovnih_besedil, zbirka_slovenskih_mladinskih_leposlovnih_besedil
4160	Najlepše božične jaslice na svetu	kratka_sodobna_pravljica, zbirka_slovenskih_mladinskih_leposlovnih_besedil
4165	Maček Ferdo igra nogomet	kratka_sodobna_pravljica, literarni_liki, zbirka_slovenskih_mladinskih_leposlovnih_besedil
4166	Domek pod brinom	literarni_liki, zbirka_slovenskih_mladinskih_leposlovnih_besedil
4245	Tam gori za našo vasjo	slovenska_knizevnost, zbirka_slovenskih_leposlovnih_besedil, zbirka_slovenskih_mladinskih_leposlovnih_besedil
4276	Kokoš velikanka	slikanice, zbirka_slovenskih_mladinskih_leposlovnih_besedil
4283	Kmetske slike	knjige, v_javni_lasti
4290	Kako je stari Molek tatu iskal	knjige, v_javni_lasti
4293	Kmetske slike/Mačkova očeta	knjige, socialna_tematika, v_javni_lasti
4294	Kmetske slike/»Otroški dohtar«	knjige, v_javni_lasti
4295	Kmetske slike/Kmetska smrt	knjige, socialna_tematika
4296	Kmetske slike/Uvod	knjige, literarna_zgodovina
