alojz_knafelc,author,Alojz Knafelc
alojz_kraigher,author,Alojz Kraigher
alojz_pikel,author,Alojz Pikel
alojzij_ambrozic,author,Alojzij Ambrožič
alojzij_bolhar,author,Alojzij Bolhar
alojzij_carli,author,Alojzij Carli
alojzij_foljk,author,Alojzij Foljk
alojzij_gregoric,author,Alojzij Gregorič
alojzij_knafelc,author,Alojzij Knafelc
alojzij_kokalj,author,Alojzij Kokalj
alojzij_merhar,author,Alojzij Merhar
alojzij_peterlin,author,Alojzij Peterlin
alojzij_remec,author,Alojzij Remec
alojzij_stroj,author,Alojzij Stroj
alojzij_sustar,author,Alojzij Šuštar
alphonse_daudet,author,Alphonse Daudet
amerikanski_slovenec,publication,Amerikanski Slovenec
ana_andrejevna_ahmatova,author,Ana Andrejevna Ahmatova
ana_fabijan,author,Ana Fabijan
ana_fabjan,author,Ana Fabjan
ana_gale,author,Ana Gale
ana_lebar,author,Ana Lebar
ana_nuska_pisek,author,Ana Nuška Pišek
ana_wambrechtsamer,author,Ana Wambrechtsamer
ana_zavadlav,author,Ana Zavadlav
anatole_france,author,Anatole France
andreas_hofer,author,Andreas Hofer
andrej_budal,author,Andrej Budal
andrej_cizl,author,Andrej Cizl
andrej_einspieler,author,Andrej Einspieler
andrej_fleischmann,author,Andrej Fleischmann
andrej_fleisman,author,Andrej Fleišman
andrej_fleismann,author,Andrej Fleišmann
andrej_gabrscek,author,Andrej Gabršček
andrej_gollmayr,author,Andrej Gollmayr
andrej_gutman,author,Andrej Gutman
andrej_hieng,author,Andrej Hieng
andrej_kalec,author,Andrej Kalec
andrej_kancnik,author,Andrej Kančnik
andrej_kobal,author,Andrej Kobal
andrej_kokot,author,Andrej Kokot
andrej_kovac,author,Andrej Kovač
andrej_mejac,author,Andrej Mejač
andrej_pajk,author,Andrej Pajk
andrej_perne,author,Andrej Perne
andrej_praprotnik,author,Andrej Praprotnik
andrej_skopec,author,Andrej Skopec
andrej_zdesar,author,Andrej Zdešar
andrej_cebokli,author,Andrej Čebokli
andrej_cehovin,author,Andrej Čehovin
andrej_savli,author,Andrej Šavli
andrej_skulj,author,Andrej Škulj
andrej_svegel,author,Andrej Švegel
andreja_borin,author,Andreja Borin
andreja_vukmir,author,Andreja Vukmir
andrew_kobal,author,Andrew Kobal
andrew_zagar,author,Andrew Žagar
andre_malraux,author,André Malraux
angela_gelc_jontes,author,Angela Gelč Jontes
angela_gelc_jontez,author,Angela Gelč Jontez
angelo_cerkvenik,author,Angelo Cerkvenik
anica_lebar,author,Anica Lebar
anica_cernej,author,Anica Černej
anica_zemlja,author,Anica Žemlja
anita_leskovec,author,Anita Leskovec
anja_stefan,author,Anja Štefan
anna_katharine_green,author,Anna Katharine Green
anna_krasna_pracek,author,Anna Krasna Praček
anne_frank,author,Anne Frank
anton_adamic,author,Anton Adamič
anton_aleksander_auersperg,author,Anton Aleksander Auersperg
anton_alojzij_wolf,author,Anton Alojzij Wolf
anton_antonov,author,Anton Antonov
anton_askerc,author,Anton Aškerc
anton_bartel,author,Anton Bartel
anton_bezensek,author,Anton Bezenšek
anton_bostele,author,Anton Boštele
anton_brecelj,author,Anton Brecelj
anton_brezovnik,author,Anton Brezovnik
anton_danilo,author,Anton Danilo
anton_debeljak,author,Anton Debeljak
anton_dermota,author,Anton Dermota
anton_divazal,author,Anton Divazal
anton_dolenc,author,Anton Dolenc
anton_dvorak,author,Anton Dvořák
anton_erjavec,author,Anton Erjavec
anton_funtek,author,Anton Funtek
anton_gaspari,author,Anton Gaspari
anton_grabic,author,Anton Grabič
anton_hribar,author,Anton Hribar
anton_ingolic,author,Anton Ingolič
anton_janezic,author,Anton Janežič
anton_jansa,author,Anton Janša
anton_jehart,author,Anton Jehart
anton_klodic,author,Anton Klodič
anton_knez,author,Anton Knez
anton_koder,author,Anton Koder
anton_kopac,author,Anton Kopač
anton_kos,author,Anton Kos
anton_kosi,author,Anton Kosi
anton_krzic,author,Anton Kržič
anton_lavrin,author,Anton Lavrin
anton_leban,author,Anton Leban
anton_lesar,author,Anton Lesar
anton_leskovec,author,Anton Leskovec
anton_mahnic,author,Anton Mahnič
anton_martin_slomsek,author,Anton Martin Slomšek
anton_medved,author,Anton Medved
anton_melik,author,Anton Melik
anton_murko,author,Anton Murko
anton_novacan,author,Anton Novačan
anton_ocvirk,author,Anton Ocvirk
anton_oliban,author,Anton Oliban
anton_pavlovic_cehov,author,Anton Pavlovič Čehov
anton_podbevsek,author,Anton Podbevšek
anton_ratajec,author,Anton Ratajec
anton_slodnjak,author,Anton Slodnjak
anton_sovre,author,Anton Sovre
anton_strazar,author,Anton Stražar
anton_susnik,author,Anton Sušnik
anton_svetek,author,Anton Svetek
anton_tanc,author,Anton Tanc
anton_terbovec,author,Anton Terbovec
anton_tomaz_linhart,author,Anton Tomaž Linhart
anton_trenc,author,Anton Trenc
anton_turkus,author,Anton Turkuš
anton_ukmar,author,Anton Ukmar
anton_umek,author,Anton Umek
anton_vodnik,author,Anton Vodnik
anton_wolf,author,Anton Wolf
anton_stritof,author,Anton Štritof
anton_svigelj,author,Anton Švigelj
anton_zakelj,author,Anton Žakelj
anton_zlogar,author,Anton Žlogar
antonija_kadivec,author,Antonija Kadivec
antonija_kobler,author,Antonija Kobler
antonija_solar,author,Antonija Šolar
antonin_chraska,author,Antonín Chráska
antuza_carigrajska,author,Antuza Carigrajska
arkadij_timofejevic_avercenko,author,Arkadij Timofejevič Averčenko
arkadij_videmsek,author,Arkadij Videmšek
arnost_adamic,author,Arnošt Adamič
asja_hrvatin,author,Asja Hrvatin
asta_malavasic,author,Asta Malavašič
august_bondeson,author,August Bondeson
august_senoa,author,August Šenoa
avgust_zavbi,author,Avgust Žavbi
b_m_vogel,author,B. M. Vogel
balant_janezic,author,Balant Janežič
barbara_gregoric_gorenc,author,Barbara Gregorič Gorenc
barbara_habic_pregl,author,Barbara Habič Pregl
barbara_hanus,author,Barbara Hanuš
bazilij_valentin,author,Bazilij Valentin
benjamin_gracer,author,Benjamin Gracer
beno_zupancic,author,Beno Zupančič
bernard_spanheimski,author,Bernard Spanheimski
bernard_tomsic,author,Bernard Tomšič
bert_lakner,author,Bert Lakner
berta_golob,author,Berta Golob
bina_stampe_zmavc,author,Bina Štampe Žmavc
blaz_lukan,author,Blaž Lukan
blaz_potocnik,author,Blaž Potočnik
bogdan_novak,author,Bogdan Novak
bogomir_magajna,author,Bogomir Magajna
bogomira_dobravec,author,Bogomira Dobravec
bogumil_vdovic,author,Bogumil Vdovič
boris_a_novak,author,Boris A. Novak
boris_kononenko,author,Boris Kononenko
boris_orel,author,Boris Orel
boris_pahor,author,Boris Pahor
boris_pintar,author,Boris Pintar
boris_rihtersic,author,Boris Rihteršič
borut_strazar,author,Borut Stražar
